category_name,description
Детская одежда и обувь,"Пальто демисезонное, маркировка 40 (8-10 лет). Застёжка - молния и пояс. Состояние отличное, молнии все работают. Цвет розовато-коралловый. Хорошо смотрится с джинсами. Стирка в машинке"
Квартиры,"Квартиры в сданном доме, в 10 минутах ходьбы от драмтеатра, с полной отделкой. Показ в удобное для вас время.  Отпразднуй новоселье прямо сейчас! Ключи в день сделки!  Ипотека 10,9%"
"Одежда, обувь, аксессуары","Пр-во Германия, не очень плотная джинса, 70% хлопок, тёмно-синяя. нем. р-р 38. Состояние хорошее. Замеры по запросу. Связь ч/з ЛС Авито. Отправлю почтой. Выборная, ост. НГПУ"
"Одежда, обувь, аксессуары","Продаю женские брюки,темно синего цвета,р-р 42,по фигуре,к низу заужены."
"Одежда, обувь, аксессуары",новые
Предложение услуг,"Быстро и качественно осуществляем/
Изготовление и установку москитных сеток в кратчайшие сроки !!!!/
Ремонт и обслуживание металлопластиковых окон;/
-регулировка фурнитуры,/
-замена стеклопакетов,/
-установка ограничителей открывания, балконных защелок,/
-замена подоконников,/
-установка дверных доводчиков,/
-замена оконных ручек,/
-установка ""детских"" ручек -с замком,/
-устранение провисания створок, щелей./
Звоните в любое время, Сергей !!!!!"
"Одежда, обувь, аксессуары","Пальто размер в размер,удобно для дам пышных форм,к сожалению купила и не одевала т.к стало велико.покупала за 3200 прошлой осенью."
Бытовая техника,"Стиральная машина Аристон, нуждается в ремонте тена (не греет воду)"
Предложение услуг,"Вода, канализация,отопление. Полипропилен..."
"Одежда, обувь, аксессуары","Тонкая блузка-топ,напоминает шелк"
"Одежда, обувь, аксессуары","Джинсы стрейч/
Как на фото /
26 размер"
"Одежда, обувь, аксессуары","Закрытые туфли кожаные  Mascotte,  на платформе в районе носка есть дефекты на обоих. Район ТЦ Глобус (Уктус)"
"Одежда, обувь, аксессуары",Породам новое платье zolla.
Детская одежда и обувь,"Плащ новый, капюшон отстёгивается, трансформируется в короткую куртку, 140 см"
Детская одежда и обувь,"Куртка в очень хорошем состоянии./
Длина от горловины-36см,рукав от шва-29,ширина по спинке 37см./
Подклатка мягкая,100% хлопок.Воротник стойка.Капюшон на заклепках,два кармашка.Сзади карман -обманка./
Носили мало,""на выход""./
Примерно на возраст 1,5-2,5г."
"Одежда, обувь, аксессуары","Новая,красивая смотрится классно"
Товары для детей и игрушки,продаю детскую коляску 2 в1 производитель Польша. состояние идеальное. звоните спрашивайте)
Квартиры,"Квартира в монолитно-кирпичном 16 этажном доме 2014 постройки. Большие комнаты. Просторная кухня. 2 лоджии. Прихожая 11 кв. м. Санузел раздельный. Квартира на две стороны. Установлены сплит-системы, сантехника, немецкие краны, бойлер для автономности гор.воды. Ремонт в теплых тонах. Хорошее отопление. На этаже 4 квартиры. 2 лифта. Рядом детский сад и школа. Во дворе дома детская площадка. На первых этажах и в цоколе коммерция. На углу улицы придомовой магнит, рядом Семейный магнит и Пятерочка. Оборудованы 2 парковки./
 /
1004238736"
Детская одежда и обувь,Новые кеды. Купили зимой на распродаже.  Стоили 4000. Дочке не подошли ((.
Детская одежда и обувь,"Мешок обуви для малышки,кроксы ,кеды,таши орто на первые шаги,резиновые сапожки,кроссы рибок,забирать в кухнечихе"
Бытовая техника,"Продам швейную машинку Подольск класса 2м в рабочем состоянии стол-тумба.Тумба закрывается на ключ.Не требует электричества, с ножным приводом.По назначению пользовались мало, чаще использовали как тумбу-подставку./
Предназначается для шитья в домашнему быту хлопчатобумажных, шерстяных и шёлковых тканей обыкновенным двух ниточным швом./
Самовывоз."
Товары для детей и игрушки,"В отличном состоянии. Есть ПЕРЕНОСКА, столик, дождевик, сетка. ШЕСТЬ АМОРТИЗАТОРОВ, очень мягкий и проходимый детский транспорт. РИКО Viper- ЛИДЕР ПРОДАЖ!!!"
Квартиры,Продаю квартиру в доме бизнес-класса в центре города. Квартира укомплектована и готова к проживанию. Район с очень развитой инфраструктурой
"Одежда, обувь, аксессуары","Продаю шикарное свадебное платье,расшитое чешскими кристаллами.Куплено в свадебном салоне за 32т.р. Платье в идеальном состоянии,как новенькое,сделана химчистка. Если вы планируете то самое грандиозное событие эта модель сделает вас неотразимой))) Торг уместен,в подарок белые туфли 38размера."
"Одежда, обувь, аксессуары",Новые платья 44-48 раз.
Детская одежда и обувь,Продам осенние ботинки с ортопедическими стельками 27 размера
Автомобили,"Полноценный рамный внедорожник./
Двигатель лицензированный ""Мерседес"" - рядный шестицилиндровый (неубиваемый ""миллионник"")./
220 лошадей + рама + полноценный полный привод = покоритель бездорожья/
Отличная рабочая лошадка./
/
Кожанный салон, в салоне никогда не курили. /
Кондиционер работает./
Газовое оборудование - реальная экономия на ГСМ./
Машина в хорошем состоянии, полностью на ходу./
/
Дополнительно:/
- газовое оборудование 4го поколения (баллон на 50 литров)/
- фаркоп/
- комплект зимней резины Nokia Hakka 5/
- механические хабы AVM (жесткое подключение полного привода)/
- глухая тонировка сзади/
- сигнализация с обратной связью СтарЛайн/
- задний парктроник/
- видеорегистратор/
/
На реализацию не поставлю, использую авто каждый день."
Детская одежда и обувь,"продаю два платьишка в отличном состоянии,фирмы ""свит берри"" и ""футурино"",не растянутые ,без пятен,с хорошей посадкой по фигуре.подойдут на рост 116-125.легкие,не жаркие,можно и в детский сад. смотреть Южное шоссе.500 р. за одно платье."
Квартиры,"Желаете купить квартиру и сразу начать жить? Тогда этот вариант для вас! Предлагаю Вам квартиру с хорошим ремонтом, мебелью и техникой! При высоте потолка в 3 метра, квартира просторна. Зал совмещен с кухонной зоной, есть отдельная спальня.Неоспоримые удобства для проживания создаёт развитая инфраструктура.Хорошая транспортная развязка, вблизи остановка городского автотранспорта. Материнский капитал. Более подробно по телефону."
Квартиры,"Квартира в самом центре Сочи! Район Светлана! Дом бизнес-класса! Шикарный вид из окон с одной стороны парк Дендрарий, с другой стороны вид на море.  В шаговой доступности центр города, школа-лицей №22, сбербанк, остановка общественного транспорта. Спуститься пешком до остановки Светлана 5-7 мин. Сдача дома 2 кв.2017 г.!  Подробней по телефону!"
Автомобили,Автор в хорошем состоянии. Один хозяин. Пробег родной. Не битый. Все вопросы по телефону
"Одежда, обувь, аксессуары","Продаюсолнцезащитные очки. Купленные в Парк Хаусе в фирменном салоне для личной коллекции. /
Все очки НОВЫЕ и оригинальные (не китайская подделка, портящая зрение). Имеют 100% защиту от ультрафиолета и замечательную качественную оптику. Ваши глаза будут отдыхать, находясь под защитой./
В наличии около 10 моделей. Приходите на примерку (разбег цен от 750р. до 1500р.)./
/
Отдаю намного ниже стоимости, так как осталось несколько моделей./
/
Зебра (женские, очень стильные и экстравагантные для особенной женщины) - 1200р./
Маска черная обтекаемой формы (универсальная модель, маска) -1200р./
Коричневые полуспорт (универсальная модель, можно на подростка) - 750р./
Серые полуспорт (универсальная модель, можно на подростка) - 750р./
Голубые квадратные с градиентом-950р./
Клубные- 1200/
Зеленые квадратные - 950р./
/
Пока товар на сайте -НЕ ПРОДАН!!!/
/
Виктория."
"Одежда, обувь, аксессуары","Сапоги кожзам, в идеальном состоянии, одевала 1 раз до машины, носы целые, набойка целая, не на широкую ногу, маркировка на 36, подойдут на полный 35, смотреть на Родионова"
Товары для детей и игрушки,НОВЫЙ!!!! Очень интересный и развлекательный.
Детская одежда и обувь,"Продаю б/у вещи за очень скромную цену подходящие для домашнего использования./
1. Носки зеленые, рисунок далматинец цена 5 руб.;/
2. Трусики, спереди как положено двойная вставка, удобные резиночки, удачный крой. Цена 10 руб. за 1 шт.;/
3. Майка борцовка бирюзового цвета с рисунком мотоциклиста (есть маленькое пятнышко). Цена 15 руб.;/
4. Джемпер трикотажный с рисунком гонка. Цена 20 руб.;/
5. Трикотажная рубашка с коротким рукавом, застежка на пуговицах (их можно при одевании не расстегивать) цвет кремовый в сочетании с т.синими полосками и отделкой. Цена 40 руб.;/
6. Толстовка тепленькая, оранжевого цвета, с трикотажным воротничком и апликацией. Цена 50 руб.;/
7. Джинсы, коленки отремонтированы стильными заплатками у одних штанов, вторые вмешательству не подлежали))). Цена 50 руб. за 1 шт.;/
8. Трикотажные майки классического фасона чисто белая, серенькая с рисунком и кремовая с рисунком. Цена 30 руб. за 1 шт.;/
9. Футболка Плей Тудей с самолетом сочетание серого и фиолетового цвета, очень хорошее состояние. Цена 100 руб.;/
10. Рубашка 100% хлопок тоже фирмы Плей Тудей, серый цвет с рисунком города, очень модная и стильная, хорошее состояние. Цена 100 руб.;/
11. Джинсовые шорты (джинса тонкая для лета) цвет т.индиго, очень хорошее состояние. Цена 100 руб.;/
12. Тонкие сатиновые шорты на лето светлые с вышивкой, цена 50 руб.;/
13. Летний костюмчик трикотажная футболка желтого цвета и полосатые удлиненные х/б шорты (чуть ниже колена) на резинке. Цена 200 руб.;/
14. Бандана тонкая х/б с ""хвостиком"", закрывающим шею ребенка от палящего солнца. Состояние почти новое. Цена 50 руб.;/
15. Плавки польский трикотаж, очень быстро сохнут на солнце, красивый принт на попе в виде пирата. В поясе есть утягивающий шнурок, чтобы на воде их не потерять и спереди уплотненная ластовица. Цена 100 руб.;/
16. Костюмчик трикотажный с рисунком. Шорты коротенькие + футболка. Цена 50 руб./
Если заберете все, то будет скидка 290 руб.и цена за все 800 руб."
Детская одежда и обувь,Продам детские вещичьки.
Бытовая техника,"Состояние отличное, загрузка 5 кг, б\у мало."
Предложение услуг,"Выполню качественно и в оговоренный срок укладку керамической плитки,мозаики любой сложности./
Что касаемо плитки могу исполнить любую фантазию клиента."
Детская одежда и обувь,"Полностью натуралка, без проблем стирала в стиральной машине."
Детская одежда и обувь,"без косяков, торг и обмен по всем моим лотам"
"Одежда, обувь, аксессуары","Продам джазавки Grighko в отличном состоянии, натуральная кожа, раздельная подошва./
Когда то давно занимался,сейчас мерил у меня 42 размер они мне маловаты,скорее всего 40-41 размер.( На фото пометил рулеткой см).В магазине стоят 2000 т.р."
Детская одежда и обувь,"Полукомбез, куртка+2 шапки, раз.92, состояние отличное/
автозавод, соцгород 2"
"Одежда, обувь, аксессуары","Продам туфли одеты один раз на свадьбу, состояние отличное набойки целые, косяков нет даже подошва чистая. Все вопросы по телефону"
Бытовая техника,Продам холодильник в хорошем состоянии. Все работает.
"Одежда, обувь, аксессуары",Состояние новой.
"Одежда, обувь, аксессуары","Новые, в коробке, оригинал."
Детская одежда и обувь,"Продам новые резиновые сапоги. Производитель-Германия. Заказывала через интернет магазин, нам слишком большие.  По запросу,    сделаю реальное фото)"
Товары для детей и игрушки,Продам состояния хорошо
"Одежда, обувь, аксессуары","Цвет красный, подчеркивает фигуру (приталенное), на воротнике есть доп.застежка."
Детская одежда и обувь,"Куртка весна-осень,состояние хорошее"
Квартиры,"Сдаётся квартира на длительный срок, рядом с ТЦ Франт, остановка в шаговой доступности, развитая инфраструктура, всё рядом есть, смотрите по карте. Хороший ремонт, в светлых тонах, вся необходимая мебель, техника, посуда в квартире имеется. Желательно гражданам РФ."
Предложение услуг,Услуги по ремонту
Детская одежда и обувь,"Кроссовки б/у, в отличном состоянии, мягкие, удобные, легкие, носили 1 сезон, покупали в Адидасе. Р-р 23 (стелька 13 см)"
Детская одежда и обувь,"состояние у облегченных хорошее-ношены одно лето, у демикса -практически новые-пару раз на физре в школе)"
Бытовая техника,"Продам двухкамерный холодильник DON R 291 B (самовывоз). Холодильник абсолютно новый, в отличном состоянии, на гарантии, приобретался в сентябре 2016 года в съемную квартиру. Причина продажи: переезд. /
/
Общие данные:/
Размеры:/
высота (см): 180,0 /
ширина (см): 57,4 /
глубина (см): 61 /
/
Общий объем/ Полезный объем:/
Холодильника (л): 326 /-/
Холодильной камеры (л): 225 /-/
Морозильной камеры (л): 101 /-/
/
Холодильное отделение в полном комплекте:/
3 полки- стекло/
Малые барьер- полки на двери- 4/
Система оттаивания испарителя автоматическая (капельная)/
Объем ящика для овощей- 2 x 5,5 л/
Форма для яиц- 2/
Масленка -1/
Полка- стекло на овощные ящики- 1/
/
Утопленные ручки/
Регулируемые ножки/
Перенавешиваемые двери/
Антибактериальное покрытие/
Материал панели наружной двери: окрашенный металл/
/
Самовывоз (Заводской район, район Радуги). /
Реальному покупателю - торг!"
Квартиры,"Кирпичный дом/
Индивидуальное отопление(свой котел на отопление и ГВС в каждой квартире)/
Центр города/
Собсвенная территория"
Детская одежда и обувь,"Пальто Гулливер, Димесезонное, на рост 0т 116-122-128/
Длина рукава 43см/
Длина пальто 64 см/
Ог 68 см/
От 70 см перешли в любой регион России по 100% предоплате на карту сб"
Квартиры,"Продается уютная 3х-комнатная квартира, не требующая вложений. Хороший качественный ремонт. Окна пластиковые, во двор. Балкон застеклен. Хорошая транспортная развязка для проезда в любой конец города."
Телефоны,В идеальном состоянии.срочно торг.если буду недоступен пепезвоню.весь комплект
Детская одежда и обувь,В отличном состоянии. Одевали пару раз
Товары для детей и игрушки,Продам автолюльку  в идеальном состоянии с документами.Со специальной подушкой когда ребенок совсем маленький.
Детская одежда и обувь,"Брендовые вещи на девочку 6 мес - 1 год пакетом. Вещи в отличном состоянии. Можно отдельно. Мещера/
Комплект Baby Boom 74р 200 руб/
Сарафан Cherokee 6 мес вельветовый 200 руб /
Джинсы Mexx 74р 150 руб /
Комбинезон летний на девочку (привезен из Тайланда) 150 руб"
Ремонт и строительство,"Новая в упаковке,70х210"
Телефоны,"Продам айфон,все работает,отпечаток работает ,комплект ;зарядка ,коробка скрепка,в подарок отдам чехлы😌есть одна трещина на работу телефона никак не влияет"
Автомобили,в хорошем состоянии
Квартиры,"состояние обычное, косметика, чистая светлая квартира, солнечная сторона, удобное месторасположение: рядом школы №74, 30, детский сад №411, в 20 мин. лыжная база, ДЮСШ ""Искра"", удобная транспортная развязка,"
"Одежда, обувь, аксессуары",Продам пальто женское 56 размера.
Предложение услуг,"Установка и обслуживание натяжных потолков (двухуровневые, парящие, с фотопечатью, шелкографией и др.). Без швов, без запаха. Мы гарантируем качественную установку, приемлемую цену и индивидуальный подход к каждому клиенту. /
Предоставим скидку на все цвета и фактуры при заказе от 30 кв.м./
Звоните, консультация и замер - бесплатно!"
Телефоны,"Породам iphone 5s,чёрный, 16гб,в комплекте только шнур. После обновления запрсил пароль от айклауда ,пароль не помню!т.к долго не обновляла"
Товары для детей и игрушки,"Новая детская кроватка с ящиком и пенополиуретановым матрасом, спальное место 160Х80 ( есть другие размеры) Разные расцветки. Цена актуальная, никаких доплат и предоплат! На нашем сайте krovatki39 огромный выбор детской мебели и самые низкие цены"
"Одежда, обувь, аксессуары",Джинсы с низкой посадкой. Интересный дизайн. Состояние хорошее.
Мебель и интерьер,"Продам люстру, на 6 лампочек, стекло (под хрусталь), очень красивая. Вместе отдам 2 бра."
Квартиры,"Дом расположен в районе с быстро развивающейся инфраструктурой. Уже сейчас у вас под рукой:/
- детские сады: №160 (15мин), №134 (15 мин)/
- школа №18 (15мин)/
- ТЦ «МЕТРО» (на следующей остановке), ТЦ «Север» (в 10 мин езды), ТРК «Гулливер» и  МОЛЛ «Армада» (в 15 мин)./
- салон красоты и фитнес центр (15мин)/
- парк им. Гуськова создан для прогулок./
Проспект Победы обеспечивает хорошую транспортную развязку для Вас и всех членов вашей семьи - Вы без труда сможете добраться в любой конец города (остановка «Магазин Комета» в 10х минутах от дома). /
Бонус для автовладельцев -  наличие мастерских и заправок вблизи ЖК./
/
Преимущества:/
- Наличие кладовой, где вы сможете спрятать все то, что вы давно хотели скрыть от лишних глаз, но в вашем нынешнем доме не было для этого места./
- Южные окна - Ваш дом всегда будет залит теплом и светом. /
- Приятная и не навязчивая палитра в ремонте – квартира уже готова к Вашему въезду. Никаких лишних затрат./
/
Доп. информация:/
К 2019 году в этом районе запланировано строительство: двух детских садов, школы, областной детской клинической больницы и современного парка отдыха. Все это будет находиться в 5 мин от вашего дома./
/
Если вы ищете идеальную квартиру для инвестиций, или просто человек, знающий толк в недвижимости - это квартира точно вам подойдет. /
Если вы ищете квартиру для своего ребенка и не желаете переплачивать – это ваш вариант./
А если вы желаете эту квартиру для себя и своей семьи – будьте уверены, вы поймали удачу за хвост!/
/
Такая квартира не оставит Вас равнодушным и стоит того, чтобы в ней жили именно Вы."
Предложение услуг,"Бурение скважин на воду переносной буровой установкой на глубину до 60 м в трудно доступных местах. Установка насосного оборудования. Скважина под ключ. Гарантия, качество."
"Одежда, обувь, аксессуары","Продаю куртку в хорошем состоянии. Тёплая, пух"
"Одежда, обувь, аксессуары","Не ношеные, новые./
Искусственная кожа, каблук 6см, черные./
Маломерки на 36 размер."
Телефоны,"Продам айфон 4с в идеале, полный комплект"
Детская одежда и обувь,Сандалики в хорошем состоянии 23 размер. Кожаная стелька
"Одежда, обувь, аксессуары","Продаю новое платье, подойдет на 52-54, рукав 3\4, с баской. Причина продажи: не подошел размер. Р-н СХИ."
"Одежда, обувь, аксессуары","В отличном состоянии. Каблук 13см(от пяточки). Р-р 39-40,5/
Торг"
Детская одежда и обувь,"милые босоножки для маленькой топотушки)) состояние новых , сделаны качественно, фирма ""домик"" с супинатором,  высокая пяточка, пальчики прикрыты ( не страшно если споткнется)  В общем отличные босоножки!"
Товары для детей и игрушки,"Очень удобная коляска в управлении и использовании!/
Имеется подробная инструкция по эксплуатации!/
В люльки есть регулируемый подголовник что позволит вам катать ребенка в люльке не только в лежачем положении!/
Прогулочный блок оснащен капюшоном который закроет вашего малыша и весной и осенью от непогоды или солнца также имеется вентиляция и в летнем и в зимнем варианте под замком которую можно открыть когда это понадобится!/
Прийти посмотреть можно в любое удобное для вас время все покажу и расскажу!/
Это лето в моде джинс,так что коляска актуально моде!Ее дизайн просто шикарный!"
Предложение услуг,"Плетение кос, разнообразные прически, все вопросы в what's app"
"Одежда, обувь, аксессуары",Сапоги в отличном виде
Квартиры,"Продается теплую, светлая 1- комнатная квартира. Произведен полный кап. ремонт с заменой всех коммуникаций, включая электрику. Потолки натяжные по всей квартире. Бытовые под каферем. Пол (ламинад). Счетчики на воду,двухтарифный эл.счетчик. Новые межкомнатные двери,окна пластик, балкон застеклён (пластик) .В квартире свежий, отличный ремонт. Состояние квартиры не требует никаких вложений - заезжай, да живи."
Ремонт и строительство,"Оптовая поставка металлопроката,/
арматура, трубы, балки, листы,/
уголки, круги, швеллера, проволока."
Детская одежда и обувь,Шапочка двойная. В хорошем состоянии. На 9—12 месяцев. Район магазина чайка
"Одежда, обувь, аксессуары","Новые! Размер 37,5"
Детская одежда и обувь,"Теплый весенний полукомбинезон Kerry Nipi для мальчиков и девочек предназначен для длительных прогулок. Полукомбинезон Kerry представлен в темных практичных цветах./
/
Подробная информация:/
Верхний слой полукомбинезона ""Актив"" - водо- и грязеотталкивающая ткань/
Наполнение 45гр (100%полиэстер)/
Регулируемые подтяжки/
Темно-синий/
Соблюдать t стирки указанную на этикетке. Не замачивать, избегать передозировки моющих средств. Средства для полоскания не использовать. Соблюдать инструцию по сушке, не сушить на радиаторе или сушильном шкафу, оставлять изделие сушиться самостоятельно./
Верх:100% полиамид; Нполнитель KERRYFILL: 45 гр; Подклад:100 % хлопок/
Состояние отличное. Покупали осенью за 3500"
"Одежда, обувь, аксессуары",Продаются две шубы женские 42размера за 5т.р. и 46 размер за 35т.р. торг при осмотре
"Одежда, обувь, аксессуары",Кофта официального стиля. Размер L. Приятная к телу
Товары для детей и игрушки,"Продам детский коврик, новый. В подарок отдам погремушки"
Предложение услуг,"Перевезу любой ваш груз по территории РФ от 1кг до 10т/
гибкая система оплаты . Нал - безнал. Страховка грузов при необходимости."
"Одежда, обувь, аксессуары","продам новую блузку, не подошла по размеру ("
Мебель и интерьер,"Пружинный блок на 1000 рулей дороже./
 /
Представляем Вашему вниманию новую мягкую мебель от производителя./
/
ХАРАКТЕРИСТИКИ/
 /
Габариты: 205см на 80 см. /
 /
Спальное место: 190см на 125 см./
 /
Ткань: вилвет люкс/
 /
Ткань: Сирия, Турция./
 /
Производитель: Россия/
/
Также мы изготовливаем мебель на заказ/
 /
1. Любая расцветка ткани./
 /
2. Любые гобаритные размеры./
 /
Мебель имееться в наличии на складе /
 /
Гарантия производителя 12 месяцев./
/
УСЛУГИ./
 /
Доставка по городу./
 /
Грузчики./
 /
Сборка и установка./
/
Наш интеренет магазин гарантирует Вам самое высокое качества товара, а также самую низкую стоимость!/
 /
Звоните на номер нашего телефона, заказывайте - будем рады видеть Вас в числе наших покупателей!"
Детская одежда и обувь,состояние хорошее
"Одежда, обувь, аксессуары","Пальто размер 44, отличное состояние"
Детская одежда и обувь,"Отличный ,легкий и удобный красивый слитный комбинезон.Носили с3.5до5 лет.Осень ,весна теплая зима.Продуман до мелочей,горло закрыто удобной липучкой. Жалко ,что стал мал )))"
Автомобили,"АВТОМОБИЛЬ ПРИОБРЕТЁН У ОФ ДИЛ, КОМПЛЕКТАЦИЯ  ЭКСКЛЮЗИВ! НА ГАРАНТИИ, ПЕРВОЕ  Т-О  Ещё НЕ ПРОХОДИЛО, КАК НОВОЕ, ПОКУПАЛАСЬ ЗА НАЛИЧНЫЙ РАСЧЁТ  1м 780т.р, ВСЕ ЧЕКИ ДОГОВОРА ЕСТЬ И СЕРВИСНАЯ КНИЖКА, ДОПОЛНИТЕЛЬНО УСТАНОВЛЕНО СПУТНИКОВОЕ СИГНАЛИЗАЦИЯ УПРАВЛЯТЬ МОЖНО ЧЕРЕЗ ТЕЛЕФОН, БРОНЬ ПЛЕНКА, ТОНИРОВКА ПО КРУГУ, СОСТОЯНИЕ ИДЕАЛЬНОЕ!!! ВСЕ ВОПРОСЫ ПО ТЕЛ! ТОРГ СРОЧНО."
Бытовая техника,"Продам микроволновку,в отличном состоянии,минимально использовалась,черного цвета и приятного дизайна,полностью в рабочем состоянии."
"Одежда, обувь, аксессуары","Продам берет белого цвета./
Размер 52-54./
Хорошее состояние."
"Одежда, обувь, аксессуары",42-44рр. все в отличном состоянии. полуботинки спереди замша-сзади немаркая красивая тофра-новые 37рр.пальто-полупиджак очень классный. тоже одет 1раз.
Товары для детей и игрушки,Продаётся кроватка с матрасиком
Детская одежда и обувь,"Продаю классный комбинезон для девочки.в идеальном состоянии,одевали 2 раза,на выписку и на крестины!очень тёплый.покупали за 2700"
Предложение услуг,"Принимаем срочные заявки и заказы на изготовление срубов бань, домов.  Ручная рубка ""в чашу"",  с ошкуриванием, без шлифовки и обработки рубанком. Шлифовка готового сруба будет производиться по Вашему желанию, если Вы закажете у нас строительство бани или дома.Собственный зимний лес, свежей заготовки, сосна, осина. Сами построим для Вас баню, дом, от фундамента до крыши, как из ошкуренного оцилиндрованного бревна, так и из бруса. Полностью скомплектуем всем необходимым пиломатериалом, от простой обрезной доски до готовой доски для пола и вагонки. Договор, гарантия. Цена за 1м3 оцилиндрованного (ошкуренного) бревна от 7500 до 8000 руб., в зависимости от  диаметра бревна и сложности проекта бани, дома."
Бытовая техника,"Линия: ARIA/
 /
Вес (кг): 27,1/
Ширина (см): 59,5/
Высота (см): 59,5/
Глубина (см): 55,1/
Класс энергопотребления: A +/
Объем (л): 71/
Количество функций духовки: 11/
Особенности духовки: горячего воздуха (нагреватель); TURBO; Нагрев с нижней; Пицца / хлеб; Гриль; Maxi готовка; Статический (обычный нагрев)/
Управление: электронное/
Дисплей: NewETU/
Внутреннее освещение: Галогеновые/
Количество стекол духовки: 2/
Выдвижной поворотный: Да/
Гиды: Экструзия/
Внутренняя часть духовки: эмаль/
Конвекция: Да/
Конвективного типа: Тепловентиляторы; Eco конвекция/
Гриль: TURBO"
Детская одежда и обувь,Есть еще вещи. Обмен на вещи рост 122-128 для мальчика.
"Одежда, обувь, аксессуары","Были одеты раза 2,мне они большие в попе. Размер 26-28."
Предложение услуг,"Укладка асфальта/
Укладка тротуарной плитки/
Установка бордюрного камня /
Работаем от 1м2 /
Выезд специалиста для консультации и замера бесплатно ./
Работаем качественно и не дорого ."
Мебель и интерьер,"Гардины из легкой полупрозрачной ткани б/у в отличном состоянии. Поскольку гардины хорошо пропускают дневной свет, то нет необходимости раздвигать их в дневное время."
"Одежда, обувь, аксессуары",Ошиблась с размером)Покупала за 3т.
Мебель и интерьер,"Продам двуспальную кровать и два отдельных матраса на нее. Кровать старая,но в хорошем состоянии. Матрасы чистые не продавленные."
"Одежда, обувь, аксессуары","Жилетка в хорошем состоянии, с капюшоном, цвет очень красивый"
Детская одежда и обувь,Стильные ботинки на весну и осень. Немного потертые. Размер 28.
"Одежда, обувь, аксессуары","Платье женское в отличном состоянии , р.46-48./
Цвет -бирюза . Возможен торг"
"Одежда, обувь, аксессуары",Размер 42-48
Детская одежда и обувь,"Продам очень красивое платье . Покупала для выпускнова бала в дет.сад. Одевали один раз. Платье с корсетом на шнуровке пойдет как для пухлой так и худой девочки.На плечи накидка с лебяжим пухом.Торг уместен. Есть косичек на юбке, но юбка пышная сильно незаметно"
Детская одежда и обувь,Рост 134. Сов армии/дыбенко
Телефоны,в разбор
Детская одежда и обувь,"Необычные пинетки для вашего малыша. Машинки дс- 10,5см, шахматы-11,5см, фиолетовые с опушкой-дс13см. Вышлю почтой."
"Одежда, обувь, аксессуары","Женские туфельки, идеальное состояние, одеты 1 раз на праздник. Очень устойчивый и невысокий каблук. р.40/
Цена без торга!"
